srxAccession,studyAccession,diseaseRaw,diseaseArea,isControl,eligible,excludeReason
ERX11662338,PRJEB68315,non-small cell lung cancer Single cell RNA-seq atlas of human NSCLC lesions and non-involved tissue,Lung Cancer,False,True,
ERX11662359,PRJEB68315,lung squamous cell carcinoma Single cell RNA-seq atlas of human NSCLC lesions and non-involved tissue,Lung Cancer,False,True,
ERX11662361,PRJEB68315,lung squamous cell carcinoma Single cell RNA-seq atlas of human NSCLC lesions and non-involved tissue,Lung Cancer,False,True,
ERX11662362,PRJEB68315,lung squamous cell carcinoma Single cell RNA-seq atlas of human NSCLC lesions and non-involved tissue,Lung Cancer,False,True,
ERX11662366,PRJEB68315,lung squamous cell carcinoma Single cell RNA-seq atlas of human NSCLC lesions and non-involved tissue,Lung Cancer,False,True,
ERX11662371,PRJEB68315,lung adenocarcinoma Single cell RNA-seq atlas of human NSCLC lesions and non-involved tissue,Lung Cancer,False,True,
ERX11662373,PRJEB68315,lung adenocarcinoma Single cell RNA-seq atlas of human NSCLC lesions and non-involved tissue,Lung Cancer,False,True,
ERX11662375,PRJEB68315,lung adenocarcinoma Single cell RNA-seq atlas of human NSCLC lesions and non-involved tissue,Lung Cancer,False,True,
ERX11662377,PRJEB68315,non-small cell lung cancer Single cell RNA-seq atlas of human NSCLC lesions and non-involved tissue,Lung Cancer,False,True,
ERX11662378,PRJEB68315,lung adenocarcinoma Single cell RNA-seq atlas of human NSCLC lesions and non-involved tissue,Lung Cancer,False,True,
ERX11662382,PRJEB68315,lung adenocarcinoma Single cell RNA-seq atlas of human NSCLC lesions and non-involved tissue,Lung Cancer,False,True,
ERX11662384,PRJEB68315,lung adenocarcinoma Single cell RNA-seq atlas of human NSCLC lesions and non-involved tissue,Lung Cancer,False,True,
ERX11876748,PRJEB71931,non-small cell lung adenocarcinoma Transcriptomic profiling of immune and stromal cells from the non small cell lung cancer (NSCLC) environment,Control,True,True,
ERX11876750,PRJEB71931,non-small cell squamous lung carcinoma Transcriptomic profiling of immune and stromal cells from the non small cell lung cancer (NSCLC) environment,Control,True,True,
ERX11876751,PRJEB71931,non-small cell squamous lung carcinoma Transcriptomic profiling of immune and stromal cells from the non small cell lung cancer (NSCLC) environment,Control,True,True,
ERX11876752,PRJEB71931,non-small cell squamous lung carcinoma Transcriptomic profiling of immune and stromal cells from the non small cell lung cancer (NSCLC) environment,Control,True,True,
ERX11876753,PRJEB71931,non-small cell squamous lung carcinoma Transcriptomic profiling of immune and stromal cells from the non small cell lung cancer (NSCLC) environment,Control,True,True,
ERX11876754,PRJEB71931,non-small cell lung adenocarcinoma Transcriptomic profiling of immune and stromal cells from the non small cell lung cancer (NSCLC) environment,Control,True,True,
ERX11876755,PRJEB71931,non-small cell lung adenocarcinoma Transcriptomic profiling of immune and stromal cells from the non small cell lung cancer (NSCLC) environment,Control,True,True,
ERX11876756,PRJEB71931,non-small cell lung adenocarcinoma Transcriptomic profiling of immune and stromal cells from the non small cell lung cancer (NSCLC) environment,Control,True,True,
ERX11876757,PRJEB71931,non-small cell lung adenocarcinoma Transcriptomic profiling of immune and stromal cells from the non small cell lung cancer (NSCLC) environment,Control,True,True,
ERX11876758,PRJEB71931,non-small cell lung adenocarcinoma Transcriptomic profiling of immune and stromal cells from the non small cell lung cancer (NSCLC) environment,Control,True,True,
ERX11876759,PRJEB71931,non-small cell lung adenocarcinoma Transcriptomic profiling of immune and stromal cells from the non small cell lung cancer (NSCLC) environment,Control,True,True,
ERX11876760,PRJEB71931,non-small cell lung adenocarcinoma Transcriptomic profiling of immune and stromal cells from the non small cell lung cancer (NSCLC) environment,Control,True,True,
ERX11876763,PRJEB71931,non-small cell squamous lung carcinoma Transcriptomic profiling of immune and stromal cells from the non small cell lung cancer (NSCLC) environment,Control,True,True,
ERX11876764,PRJEB71931,non-small cell squamous lung carcinoma Transcriptomic profiling of immune and stromal cells from the non small cell lung cancer (NSCLC) environment,Control,True,True,
ERX11876765,PRJEB71931,non-small cell squamous lung carcinoma Transcriptomic profiling of immune and stromal cells from the non small cell lung cancer (NSCLC) environment,Control,True,True,
ERX11876767,PRJEB71931,non-small cell squamous lung carcinoma Transcriptomic profiling of immune and stromal cells from the non small cell lung cancer (NSCLC) environment,Control,True,True,
ERX11876768,PRJEB71931,non-small cell lung adenocarcinoma Transcriptomic profiling of immune and stromal cells from the non small cell lung cancer (NSCLC) environment,Control,True,True,
ERX11876769,PRJEB71931,non-small cell lung adenocarcinoma Transcriptomic profiling of immune and stromal cells from the non small cell lung cancer (NSCLC) environment,Control,True,True,
ERX11876770,PRJEB71931,non-small cell lung adenocarcinoma Transcriptomic profiling of immune and stromal cells from the non small cell lung cancer (NSCLC) environment,Control,True,True,
ERX11876771,PRJEB71931,non-small cell squamous lung carcinoma Transcriptomic profiling of immune and stromal cells from the non small cell lung cancer (NSCLC) environment,Control,True,True,
ERX11876772,PRJEB71931,non-small cell squamous lung carcinoma Transcriptomic profiling of immune and stromal cells from the non small cell lung cancer (NSCLC) environment,Control,True,True,
ERX4409913,PRJEB39956,lung adenocarcinoma scRNAseq of EGFR-mut PC9 cells control or treated for 24h or 72h with osimertinib,Lung Cancer,False,True,
ERX4409915,PRJEB39956,lung adenocarcinoma scRNAseq of EGFR-mut PC9 cells control or treated for 24h or 72h with osimertinib,Lung Cancer,False,True,
ERX8831396,PRJEB51720,squamous cell lung carcinoma Transcriptional profiling by single cell-RNA sequencing of HARA cells according to Calbindin and HERVH-LTR7 activity,Lung Cancer,False,True,
SRX10008476,PRJNA699012,IPF Profiling of cultured primary stromal cells from human lung,IPF / Pulmonary Fibrosis,False,False,excluded_sample_type
SRX10048373,PRJNA669824,The pulmonary vasculature in lethal COVID-19 and idiopathic pulmonary fibrosis at single cell resolution,IPF / Pulmonary Fibrosis,False,True,
SRX10048375,PRJNA669824,The pulmonary vasculature in lethal COVID-19 and idiopathic pulmonary fibrosis at single cell resolution,IPF / Pulmonary Fibrosis,False,False,excluded_sample_type
SRX10048376,PRJNA669824,The pulmonary vasculature in lethal COVID-19 and idiopathic pulmonary fibrosis at single cell resolution,IPF / Pulmonary Fibrosis,False,False,excluded_sample_type
SRX10048379,PRJNA669824,The pulmonary vasculature in lethal COVID-19 and idiopathic pulmonary fibrosis at single cell resolution,IPF / Pulmonary Fibrosis,False,False,excluded_sample_type
SRX10048380,PRJNA669824,The pulmonary vasculature in lethal COVID-19 and idiopathic pulmonary fibrosis at single cell resolution,IPF / Pulmonary Fibrosis,False,False,excluded_sample_type
SRX10048385,PRJNA669824,The pulmonary vasculature in lethal COVID-19 and idiopathic pulmonary fibrosis at single cell resolution,IPF / Pulmonary Fibrosis,False,False,excluded_sample_type
SRX10048389,PRJNA669824,The pulmonary vasculature in lethal COVID-19 and idiopathic pulmonary fibrosis at single cell resolution,IPF / Pulmonary Fibrosis,False,True,
SRX10048391,PRJNA669824,The pulmonary vasculature in lethal COVID-19 and idiopathic pulmonary fibrosis at single cell resolution,IPF / Pulmonary Fibrosis,False,True,
SRX10048393,PRJNA669824,The pulmonary vasculature in lethal COVID-19 and idiopathic pulmonary fibrosis at single cell resolution,IPF / Pulmonary Fibrosis,False,True,
SRX10048395,PRJNA669824,The pulmonary vasculature in lethal COVID-19 and idiopathic pulmonary fibrosis at single cell resolution,IPF / Pulmonary Fibrosis,False,True,
SRX10048396,PRJNA669824,The pulmonary vasculature in lethal COVID-19 and idiopathic pulmonary fibrosis at single cell resolution,IPF / Pulmonary Fibrosis,False,True,
SRX10048397,PRJNA669824,The pulmonary vasculature in lethal COVID-19 and idiopathic pulmonary fibrosis at single cell resolution,IPF / Pulmonary Fibrosis,False,True,
SRX10100448,PRJNA701930,"Single-cell longitudinal analysis of SARS-CoV-2 infection in human airway epithelium identifies target cells, alterations in gene expression and cell state changes",COVID-19 / SARS-CoV-2,False,False,excluded_sample_type
SRX10152685,PRJNA704098,COPD SINGLE CELL RNA SEQUENCING IDENTIFIES IGFBP5 AND QKI,COPD,False,True,
SRX10327362,PRJNA713903,Single-cell RNA sequencing of human airway epithelia infected with measles virus (MeV),Other,False,False,unmapped_disease
SRX10327364,PRJNA713903,Single-cell RNA sequencing of human airway epithelia infected with measles virus (MeV),Other,False,False,unmapped_disease
SRX10327365,PRJNA713903,Single-cell RNA sequencing of human airway epithelia infected with measles virus (MeV),Other,False,False,unmapped_disease
SRX10327368,PRJNA713903,Single-cell RNA sequencing of human airway epithelia infected with measles virus (MeV),Other,False,False,unmapped_disease
SRX10335835,PRJNA714138,Lung cancer Identification of a novel antitumor CD4+ T cell cluster orchestrating antitumor immunity,Lung Cancer,False,True,
SRX10425169,PRJNA716656,IPAH Transcriptional profiling of lung cell populations in idiopathic pulmonary arterial hypertension,Pulmonary Hypertension,False,True,
SRX10425170,PRJNA716656,IPAH Transcriptional profiling of lung cell populations in idiopathic pulmonary arterial hypertension,Pulmonary Hypertension,False,True,
SRX10957183,PRJNA731910,Resistance to targeted therapies in the brain tumor microenvironment occurs through selection of cells with distinct transcriptomic profiles,Other,False,False,excluded_sample_type
SRX11143423,PRJNA634136,Cycling cancer persisters arise from lineages with distinct transcriptional and metabolic programs,Other,False,False,unmapped_disease
SRX11143424,PRJNA634136,Cycling cancer persisters arise from lineages with distinct transcriptional and metabolic programs,Other,False,False,unmapped_disease
SRX11143425,PRJNA634136,Cycling cancer persisters arise from lineages with distinct transcriptional and metabolic programs,Other,False,False,unmapped_disease
SRX11143427,PRJNA634136,Cycling cancer persisters arise from lineages with distinct transcriptional and metabolic programs,Other,False,False,unmapped_disease
SRX11143428,PRJNA634136,Cycling cancer persisters arise from lineages with distinct transcriptional and metabolic programs,Other,False,False,unmapped_disease
SRX11143429,PRJNA634136,Cycling cancer persisters arise from lineages with distinct transcriptional and metabolic programs,Other,False,False,unmapped_disease
SRX11143430,PRJNA634136,Cycling cancer persisters arise from lineages with distinct transcriptional and metabolic programs,Other,False,False,unmapped_disease
SRX11438984,PRJNA746455,Macrophages govern antiviral responses in human lung tissues protected from SARS-CoV-2 infection,COVID-19 / SARS-CoV-2,False,True,
SRX11438987,PRJNA746455,Macrophages govern antiviral responses in human lung tissues protected from SARS-CoV-2 infection,COVID-19 / SARS-CoV-2,False,True,
SRX11438989,PRJNA746455,Macrophages govern antiviral responses in human lung tissues protected from SARS-CoV-2 infection,COVID-19 / SARS-CoV-2,False,True,
SRX11438990,PRJNA746455,Macrophages govern antiviral responses in human lung tissues protected from SARS-CoV-2 infection,COVID-19 / SARS-CoV-2,False,True,
SRX11438991,PRJNA746455,Macrophages govern antiviral responses in human lung tissues protected from SARS-CoV-2 infection,COVID-19 / SARS-CoV-2,False,True,
SRX11438992,PRJNA746455,Macrophages govern antiviral responses in human lung tissues protected from SARS-CoV-2 infection,COVID-19 / SARS-CoV-2,False,True,
SRX11515843,PRJNA748731,Acute respiratory distress syndrome People critically ill with COVID-19 exhibit peripheral immune profiles predictive of mortality and reflective of SARS-CoV-2 lung viral burden,COVID-19 / SARS-CoV-2,False,True,
SRX11515852,PRJNA748731,COVID-19 People critically ill with COVID-19 exhibit peripheral immune profiles predictive of mortality and reflective of SARS-CoV-2 lung viral burden,COVID-19 / SARS-CoV-2,False,True,
SRX11987892,PRJNA759630,NSCLC Transcriptomic and topological analyses of human lung tumors identify cancer-associated fibroblast subsets associated with T cell exclusion,Lung Cancer,False,True,
SRX11987896,PRJNA759630,NSCLC Transcriptomic and topological analyses of human lung tumors identify cancer-associated fibroblast subsets associated with T cell exclusion,Lung Cancer,False,True,
SRX11987900,PRJNA759630,NSCLC Transcriptomic and topological analyses of human lung tumors identify cancer-associated fibroblast subsets associated with T cell exclusion,Lung Cancer,False,True,
SRX11987902,PRJNA759630,NSCLC Transcriptomic and topological analyses of human lung tumors identify cancer-associated fibroblast subsets associated with T cell exclusion,Lung Cancer,False,True,
SRX11987903,PRJNA759630,NSCLC Transcriptomic and topological analyses of human lung tumors identify cancer-associated fibroblast subsets associated with T cell exclusion,Lung Cancer,False,True,
SRX11987904,PRJNA759630,NSCLC Transcriptomic and topological analyses of human lung tumors identify cancer-associated fibroblast subsets associated with T cell exclusion,Lung Cancer,False,True,
SRX11987906,PRJNA759630,NSCLC Transcriptomic and topological analyses of human lung tumors identify cancer-associated fibroblast subsets associated with T cell exclusion,Lung Cancer,False,True,
SRX11987908,PRJNA759630,NSCLC Transcriptomic and topological analyses of human lung tumors identify cancer-associated fibroblast subsets associated with T cell exclusion,Lung Cancer,False,True,
SRX11987909,PRJNA759630,NSCLC Transcriptomic and topological analyses of human lung tumors identify cancer-associated fibroblast subsets associated with T cell exclusion,Lung Cancer,False,True,
SRX11987912,PRJNA759630,NSCLC Transcriptomic and topological analyses of human lung tumors identify cancer-associated fibroblast subsets associated with T cell exclusion,Lung Cancer,False,True,
SRX11987915,PRJNA759630,NSCLC Transcriptomic and topological analyses of human lung tumors identify cancer-associated fibroblast subsets associated with T cell exclusion,Lung Cancer,False,True,
SRX12285822,PRJNA764933,The NF-κB transcriptional footprint is essential for SARS-CoV-2 replication,COVID-19 / SARS-CoV-2,False,True,
SRX12366723,PRJNA766517,Modification of microglial transcriptome reveals to be novel therapeutic strategy against Alzheimer's Disease,Control,True,False,non_human
SRX12509396,PRJNA769143,pulmonary arterial hypertension Single-cell mRNAseq human pulmonary arterial endothelial cells in healthy and pulmonary arterial hypertension,Pulmonary Hypertension,False,True,
SRX12571167,PRJNA770341,Human lung tissue resident memory T cells are re-programmed but not eradicated with systemic glucocorticoids after acute cellular rejection,Other,False,False,unmapped_disease
SRX12708356,PRJNA773094,COVID-19 Transcriptional reprogramming of infiltrating neutrophils drives lung disease in severe COVID-19 despite low viral load,COVID-19 / SARS-CoV-2,False,True,
SRX12868712,PRJNA773987,Lung adenocarcinoma stage IA single cell RNA sequencing of early lung adenocarcinoma from never smoker.,Lung Cancer,False,True,
SRX12868713,PRJNA773987,Lung adenocarcinoma stage IA single cell RNA sequencing of early lung adenocarcinoma from never smoker.,Lung Cancer,False,True,
SRX12868714,PRJNA773987,Normal appearing adjacent lung tissue from lung adenocarcinoma patient. stage IA single cell RNA sequencing of early lung adenocarcinoma from never smoker.,Control,True,True,
SRX12868715,PRJNA773987,Lung adenocarcinoma stage IA single cell RNA sequencing of early lung adenocarcinoma from never smoker.,Lung Cancer,False,True,
SRX12868717,PRJNA773987,Lung adenocarcinoma stage IA single cell RNA sequencing of early lung adenocarcinoma from never smoker.,Lung Cancer,False,True,
SRX12868719,PRJNA773987,Lung adenocarcinoma stage IA single cell RNA sequencing of early lung adenocarcinoma from never smoker.,Lung Cancer,False,True,
SRX12868721,PRJNA773987,Lung adenocarcinoma stage IA single cell RNA sequencing of early lung adenocarcinoma from never smoker.,Lung Cancer,False,True,
SRX13061245,PRJNA778775,Allelic variation in Class I HLA determines pre-existing memory responses to SARS-CoV-2 that shape the CD8+ T cell repertoire upon viral exposure,COVID-19 / SARS-CoV-2,False,True,
SRX13198724,PRJNA782639,Spatiotemporal transcriptional atlas of lung adenocarcinoma from adenocarcinoma in situ to invasive carcinoma [scRNA-seq],Lung Cancer,False,True,
SRX13198725,PRJNA782639,Spatiotemporal transcriptional atlas of lung adenocarcinoma from adenocarcinoma in situ to invasive carcinoma [scRNA-seq],Lung Cancer,False,True,
SRX13198726,PRJNA782639,Spatiotemporal transcriptional atlas of lung adenocarcinoma from adenocarcinoma in situ to invasive carcinoma [scRNA-seq],Lung Cancer,False,True,
SRX13198727,PRJNA782639,Spatiotemporal transcriptional atlas of lung adenocarcinoma from adenocarcinoma in situ to invasive carcinoma [scRNA-seq],Lung Cancer,False,True,
SRX13198728,PRJNA782639,Spatiotemporal transcriptional atlas of lung adenocarcinoma from adenocarcinoma in situ to invasive carcinoma [scRNA-seq],Lung Cancer,False,True,
SRX13198729,PRJNA782639,Spatiotemporal transcriptional atlas of lung adenocarcinoma from adenocarcinoma in situ to invasive carcinoma [scRNA-seq],Lung Cancer,False,True,
SRX13198730,PRJNA782639,Spatiotemporal transcriptional atlas of lung adenocarcinoma from adenocarcinoma in situ to invasive carcinoma [scRNA-seq],Lung Cancer,False,True,
SRX13198732,PRJNA782639,Spatiotemporal transcriptional atlas of lung adenocarcinoma from adenocarcinoma in situ to invasive carcinoma [scRNA-seq],Lung Cancer,False,True,
SRX13325103,PRJNA786555,LAM lung Midkine expression by stem-like tumor cells drives persistence to mTOR inhibition and rewires the microenvironment toward an immune-suppressive state,Other,False,False,unmapped_disease
SRX14098301,PRJNA804479,COPD Secretory cells are the primary source of pIgR in small airways,COPD,False,False,excluded_sample_type
SRX14098302,PRJNA804479,COPD Secretory cells are the primary source of pIgR in small airways,COPD,False,False,excluded_sample_type
SRX14098303,PRJNA804479,COPD Secretory cells are the primary source of pIgR in small airways,COPD,False,False,excluded_sample_type
SRX14098306,PRJNA804479,COPD Secretory cells are the primary source of pIgR in small airways,COPD,False,False,excluded_sample_type
SRX14495312,PRJNA817261,yes Ewing sarcoma Adolescent bone sarcomas have distinct immune signatures and intercellular communication networks,Other,False,False,unmapped_disease
SRX14589431,PRJNA819093,Transcriptome Analaysis of humanized lungs in COVID-19 [scRNAseq],COVID-19 / SARS-CoV-2,False,True,
SRX14589432,PRJNA819093,Transcriptome Analaysis of humanized lungs in COVID-19 [scRNAseq],COVID-19 / SARS-CoV-2,False,True,
SRX14589433,PRJNA819093,Transcriptome Analaysis of humanized lungs in COVID-19 [scRNAseq],COVID-19 / SARS-CoV-2,False,True,
SRX14767848,PRJNA667491,non-CF Single cell RNA sequencing of polarized cystic fibrosis (CF) and non-CF human airway cell cultures following transduction of primary basal cells with lentivirus,Cystic Fibrosis,False,True,
SRX14767851,PRJNA667491,CF Single cell RNA sequencing of polarized cystic fibrosis (CF) and non-CF human airway cell cultures following transduction of primary basal cells with lentivirus,Cystic Fibrosis,False,True,
SRX14767852,PRJNA667491,CF Single cell RNA sequencing of polarized cystic fibrosis (CF) and non-CF human airway cell cultures following transduction of primary basal cells with lentivirus,Cystic Fibrosis,False,True,
SRX14767853,PRJNA667491,CF Single cell RNA sequencing of polarized cystic fibrosis (CF) and non-CF human airway cell cultures following transduction of primary basal cells with lentivirus,Cystic Fibrosis,False,True,
SRX14767854,PRJNA667491,non-CF Single cell RNA sequencing of polarized cystic fibrosis (CF) and non-CF human airway cell cultures following transduction of primary basal cells with lentivirus,Cystic Fibrosis,False,True,
SRX14767855,PRJNA667491,CF Single cell RNA sequencing of polarized cystic fibrosis (CF) and non-CF human airway cell cultures following transduction of primary basal cells with lentivirus,Cystic Fibrosis,False,True,
SRX14891756,PRJNA827791,Single cell RNA-sequencing based characterization of cell compositions in human multiple primary lung cancer,Lung Cancer,False,True,
SRX14891759,PRJNA827791,Single cell RNA-sequencing based characterization of cell compositions in human multiple primary lung cancer,Lung Cancer,False,True,
SRX14891760,PRJNA827791,Single cell RNA-sequencing based characterization of cell compositions in human multiple primary lung cancer,Lung Cancer,False,True,
SRX14891761,PRJNA827791,Single cell RNA-sequencing based characterization of cell compositions in human multiple primary lung cancer,Lung Cancer,False,True,
SRX14891762,PRJNA827791,Single cell RNA-sequencing based characterization of cell compositions in human multiple primary lung cancer,Lung Cancer,False,True,
SRX14891763,PRJNA827791,Single cell RNA-sequencing based characterization of cell compositions in human multiple primary lung cancer,Lung Cancer,False,True,
SRX14891764,PRJNA827791,Single cell RNA-sequencing based characterization of cell compositions in human multiple primary lung cancer,Lung Cancer,False,True,
SRX14891765,PRJNA827791,Single cell RNA-sequencing based characterization of cell compositions in human multiple primary lung cancer,Lung Cancer,False,True,
SRX14891767,PRJNA827791,Single cell RNA-sequencing based characterization of cell compositions in human multiple primary lung cancer,Lung Cancer,False,True,
SRX14891769,PRJNA827791,Single cell RNA-sequencing based characterization of cell compositions in human multiple primary lung cancer,Lung Cancer,False,True,
SRX15263315,PRJNA837899,A Multi-Organoid Platform Identifies CIART as a Key Factor for SARS-CoV-2 Infection [scRNA-seq],COVID-19 / SARS-CoV-2,False,False,excluded_sample_type
SRX15263316,PRJNA837899,A Multi-Organoid Platform Identifies CIART as a Key Factor for SARS-CoV-2 Infection [scRNA-seq],COVID-19 / SARS-CoV-2,False,False,excluded_sample_type
SRX15263317,PRJNA837899,A Multi-Organoid Platform Identifies CIART as a Key Factor for SARS-CoV-2 Infection [scRNA-seq],COVID-19 / SARS-CoV-2,False,False,excluded_sample_type
SRX15263318,PRJNA837899,A Multi-Organoid Platform Identifies CIART as a Key Factor for SARS-CoV-2 Infection [scRNA-seq],COVID-19 / SARS-CoV-2,False,False,excluded_sample_type
SRX16217002,PRJNA858410,"Gene expression profile at single cell level of human TILs treated with PD1-TIM3, PD1-LAG3, anti-PD1 or control isotype.",Other,False,False,unmapped_disease
SRX16217003,PRJNA858410,"Gene expression profile at single cell level of human TILs treated with PD1-TIM3, PD1-LAG3, anti-PD1 or control isotype.",Other,False,False,unmapped_disease
SRX16217004,PRJNA858410,"Gene expression profile at single cell level of human TILs treated with PD1-TIM3, PD1-LAG3, anti-PD1 or control isotype.",Other,False,False,unmapped_disease
SRX16217005,PRJNA858410,"Gene expression profile at single cell level of human TILs treated with PD1-TIM3, PD1-LAG3, anti-PD1 or control isotype.",Other,False,False,unmapped_disease
SRX16217006,PRJNA858410,"Gene expression profile at single cell level of human TILs treated with PD1-TIM3, PD1-LAG3, anti-PD1 or control isotype.",Other,False,False,unmapped_disease
SRX16217007,PRJNA858410,"Gene expression profile at single cell level of human TILs treated with PD1-TIM3, PD1-LAG3, anti-PD1 or control isotype.",Other,False,False,unmapped_disease
SRX16217008,PRJNA858410,"Gene expression profile at single cell level of human TILs treated with PD1-TIM3, PD1-LAG3, anti-PD1 or control isotype.",Other,False,False,unmapped_disease
SRX16217009,PRJNA858410,"Gene expression profile at single cell level of human TILs treated with PD1-TIM3, PD1-LAG3, anti-PD1 or control isotype.",Other,False,False,unmapped_disease
SRX16217010,PRJNA858410,"Gene expression profile at single cell level of human TILs treated with PD1-TIM3, PD1-LAG3, anti-PD1 or control isotype.",Other,False,False,unmapped_disease
SRX16217012,PRJNA858410,"Gene expression profile at single cell level of human TILs treated with PD1-TIM3, PD1-LAG3, anti-PD1 or control isotype.",Other,False,False,unmapped_disease
SRX16217013,PRJNA858410,"Gene expression profile at single cell level of human TILs treated with PD1-TIM3, PD1-LAG3, anti-PD1 or control isotype.",Other,False,False,unmapped_disease
SRX16217014,PRJNA858410,"Gene expression profile at single cell level of human TILs treated with PD1-TIM3, PD1-LAG3, anti-PD1 or control isotype.",Other,False,False,unmapped_disease
SRX16217015,PRJNA858410,"Gene expression profile at single cell level of human TILs treated with PD1-TIM3, PD1-LAG3, anti-PD1 or control isotype.",Other,False,False,unmapped_disease
SRX16217016,PRJNA858410,"Gene expression profile at single cell level of human TILs treated with PD1-TIM3, PD1-LAG3, anti-PD1 or control isotype.",Other,False,False,unmapped_disease
SRX16217017,PRJNA858410,"Gene expression profile at single cell level of human TILs treated with PD1-TIM3, PD1-LAG3, anti-PD1 or control isotype.",Other,False,False,unmapped_disease
SRX16757156,PRJNA864822,pulmonary arterial hypertension (PAH) Gene expression profile at single cell level of human pulmonary arteries (PA) of healthy and Pulmonary hypertension affected lungs and murine PA exposed to normoxia and hypoxia,Pulmonary Hypertension,False,True,
SRX16757157,PRJNA864822,pulmonary arterial hypertension (PAH) Gene expression profile at single cell level of human pulmonary arteries (PA) of healthy and Pulmonary hypertension affected lungs and murine PA exposed to normoxia and hypoxia,Pulmonary Hypertension,False,True,
SRX17035589,PRJNA868764,Integrated multiomics profiling identifies the differentiation program of regulatory T cells in human tumors [scRNA-seq],Control,True,True,
SRX17137139,PRJNA870911,"SARS-CoV-2 infection of Lung Organoids Reveals Conserved Use of Tetraspanin-8 by Ancestral-, Delta-, and Omicron- Variants",COVID-19 / SARS-CoV-2,False,False,excluded_sample_type
SRX17150749,PRJNA871210,Investigating tumor radiation response heterogeneity using single-cell sequencing,Other,False,False,unmapped_disease
SRX17150750,PRJNA871210,Investigating tumor radiation response heterogeneity using single-cell sequencing,Other,False,False,unmapped_disease
SRX17412786,PRJNA563828,Control IPF Cell Atlas,Control,True,True,
SRX17412792,PRJNA563828,Control IPF Cell Atlas,Control,True,True,
SRX17412802,PRJNA563828,Control IPF Cell Atlas,Control,True,True,
SRX17412805,PRJNA563828,COPD IPF Cell Atlas,IPF / Pulmonary Fibrosis,False,True,
SRX17412806,PRJNA563828,COPD IPF Cell Atlas,IPF / Pulmonary Fibrosis,False,True,
SRX17412807,PRJNA563828,COPD IPF Cell Atlas,IPF / Pulmonary Fibrosis,False,True,
SRX17412808,PRJNA563828,COPD IPF Cell Atlas,IPF / Pulmonary Fibrosis,False,True,
SRX17412809,PRJNA563828,COPD IPF Cell Atlas,IPF / Pulmonary Fibrosis,False,True,
SRX17412811,PRJNA563828,COPD IPF Cell Atlas,IPF / Pulmonary Fibrosis,False,True,
SRX17412812,PRJNA563828,COPD IPF Cell Atlas,IPF / Pulmonary Fibrosis,False,True,
SRX17412813,PRJNA563828,COPD IPF Cell Atlas,IPF / Pulmonary Fibrosis,False,True,
SRX17412814,PRJNA563828,COPD IPF Cell Atlas,IPF / Pulmonary Fibrosis,False,True,
SRX17412815,PRJNA563828,COPD IPF Cell Atlas,IPF / Pulmonary Fibrosis,False,True,
SRX17412816,PRJNA563828,COPD IPF Cell Atlas,IPF / Pulmonary Fibrosis,False,True,
SRX17412817,PRJNA563828,COPD IPF Cell Atlas,IPF / Pulmonary Fibrosis,False,True,
SRX17412818,PRJNA563828,COPD IPF Cell Atlas,IPF / Pulmonary Fibrosis,False,True,
SRX17412820,PRJNA563828,COPD IPF Cell Atlas,IPF / Pulmonary Fibrosis,False,True,
SRX17412821,PRJNA563828,COPD IPF Cell Atlas,IPF / Pulmonary Fibrosis,False,True,
SRX17412823,PRJNA563828,IPF IPF Cell Atlas,IPF / Pulmonary Fibrosis,False,True,
SRX17412824,PRJNA563828,IPF IPF Cell Atlas,IPF / Pulmonary Fibrosis,False,True,
SRX17412825,PRJNA563828,IPF IPF Cell Atlas,IPF / Pulmonary Fibrosis,False,True,
SRX17412827,PRJNA563828,IPF IPF Cell Atlas,IPF / Pulmonary Fibrosis,False,True,
SRX17412828,PRJNA563828,IPF IPF Cell Atlas,IPF / Pulmonary Fibrosis,False,True,
SRX17412829,PRJNA563828,IPF IPF Cell Atlas,IPF / Pulmonary Fibrosis,False,True,
SRX17412830,PRJNA563828,IPF IPF Cell Atlas,IPF / Pulmonary Fibrosis,False,True,
SRX17412831,PRJNA563828,IPF IPF Cell Atlas,IPF / Pulmonary Fibrosis,False,True,
SRX17412832,PRJNA563828,IPF IPF Cell Atlas,IPF / Pulmonary Fibrosis,False,True,
SRX17412833,PRJNA563828,IPF IPF Cell Atlas,IPF / Pulmonary Fibrosis,False,True,
SRX17412834,PRJNA563828,IPF IPF Cell Atlas,IPF / Pulmonary Fibrosis,False,True,
SRX17412835,PRJNA563828,IPF IPF Cell Atlas,IPF / Pulmonary Fibrosis,False,True,
SRX17412836,PRJNA563828,IPF IPF Cell Atlas,IPF / Pulmonary Fibrosis,False,True,
SRX17412837,PRJNA563828,IPF IPF Cell Atlas,IPF / Pulmonary Fibrosis,False,True,
SRX17412839,PRJNA563828,IPF IPF Cell Atlas,IPF / Pulmonary Fibrosis,False,True,
SRX17412840,PRJNA563828,IPF IPF Cell Atlas,IPF / Pulmonary Fibrosis,False,True,
SRX17412841,PRJNA563828,IPF IPF Cell Atlas,IPF / Pulmonary Fibrosis,False,True,
SRX17412842,PRJNA563828,IPF IPF Cell Atlas,IPF / Pulmonary Fibrosis,False,True,
SRX17412843,PRJNA563828,IPF IPF Cell Atlas,IPF / Pulmonary Fibrosis,False,True,
SRX17412844,PRJNA563828,IPF IPF Cell Atlas,IPF / Pulmonary Fibrosis,False,True,
